Serial,UserCode,DeviceID,RecordDate,RecordNumber,FaceID,Clarity,Age,Quality,Gender,Similarity
1,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
2,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
3,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
4,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
5,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
6,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
7,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
8,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
9,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
10,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
11,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
12,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
13,11111,1206280294,2024-03-28 19:30:37,9,173,0.987686,29.000000,0.987686,Male,0.826845
14,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
15,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
16,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
17,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
18,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
19,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
20,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
21,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
22,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
23,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
24,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
25,11111,1206280294,2024-03-28 19:32:31,9,174,0.544384,31.000000,0.544384,Male,0.816487
26,11111,1206280294,2024-03-28 23:30:45,9,174,0.963058,46.000000,0.963058,Male,0.865124
27,11111,1206280294,2024-03-28 23:30:45,9,174,0.963058,46.000000,0.963058,Male,0.865124
28,11111,1206280294,2024-03-28 19:32:36,9,174,0.963058,46.000000,0.963058,Male,0.865124
29,11111,1206280294,2024-03-28 19:32:36,9,174,0.963058,46.000000,0.963058,Male,0.865124
30,11111,1206280294,2024-03-28 19:32:36,9,174,0.963058,46.000000,0.963058,Male,0.865124
31,11111,1206280294,2024-03-28 19:32:36,9,174,0.963058,46.000000,0.963058,Male,0.865124
32,11111,1206280294,2024-03-28 19:32:36,9,174,0.963058,46.000000,0.963058,Male,0.865124
33,11111,1206280294,2024-03-28 19:32:36,9,174,0.963058,46.000000,0.963058,Male,0.865124
34,11111,1206280294,2024-03-28 19:32:36,9,174,0.963058,46.000000,0.963058,Male,0.865124
35,11111,1206280294,2024-03-28 19:32:36,9,174,0.963058,46.000000,0.963058,Male,0.865124
36,11111,1206280294,2024-03-28 19:32:36,9,174,0.963058,46.000000,0.963058,Male,0.865124
